año,mes,tavg_mean,tmin_mean,tmax_mean,prcp_sum,wspd_mean,pres_mean,dias_lluvia,dias_registro
2001,10,30.096774193548388,23.991935483870968,35.71774193548387,58.9,7.007096774193548,1010.9167741935485,6,31
2001,11,27.721666666666668,22.65666666666667,33.28333333333333,162.6,6.208666666666667,1010.9373333333334,14,30
2001,12,27.84032258064516,22.88225806451613,32.811290322580646,91.7,6.147096774193548,1010.5896774193548,12,31
2002,1,29.09193548387097,22.87258064516129,34.096774193548384,29.5,6.186486486486486,1010.9416216216217,7,31
2002,2,28.744642857142857,22.400000000000002,34.346428571428575,122.19999999999999,6.405029585798816,1010.6857988165679,8,28
2002,3,28.838709677419356,23.003225806451614,34.64354838709678,194.5,6.063763292475038,1010.9570570570571,11,31
2002,4,27.595000000000002,22.45,32.52333333333333,125.0,5.988205759101919,1010.745,10,30
2002,5,27.89677419354839,22.719354838709677,33.020967741935486,137.9,7.040860215053763,1011.6268817204301,15,31
2002,6,27.490000000000002,21.971666666666668,33.309999999999995,35.0,8.018666666666666,1012.2233333333334,8,30
2002,7,28.651612903225807,22.453225806451613,34.30483870967742,40.5,11.233548387096775,1012.4174193548388,8,31
2002,8,29.65483870967742,23.361290322580647,35.44193548387097,4.4,10.692959770114943,1011.8156989247311,4,31
2002,9,30.186666666666667,22.903333333333332,35.733333333333334,18.2,9.334751619755142,1011.0869500372856,6,30
2002,10,29.76451612903226,23.129032258064516,35.61290322580645,69.7,7.007096774193548,1010.9167741935485,8,31
2002,11,28.243333333333332,22.575,33.4175,114.9,6.208666666666667,1010.9373333333334,6,30
2002,12,28.530645161290323,22.47258064516129,34.0733870967742,62.099999999999994,6.147096774193548,1010.5896774193548,9,31
2003,1,29.51451612903226,22.583870967741937,34.688709677419354,29.9,6.186486486486486,1010.9416216216217,2,31
2003,2,29.407142857142855,23.142857142857142,34.88035714285714,20.6,6.405029585798816,1010.6857988165679,4,28
2003,3,28.5,22.788709677419355,34.14032258064516,138.0,6.063763292475038,1010.9570570570571,11,31
2003,4,27.758333333333333,22.311666666666667,32.61833333333333,147.4,5.988205759101919,1010.745,12,30
2003,5,28.811290322580643,23.072580645161292,34.24677419354839,13.1,7.040860215053763,1011.6268817204301,8,31
2003,6,28.348333333333336,22.36,34.25,31.400000000000002,8.018666666666666,1012.2233333333334,7,30
2003,7,29.240322580645163,23.02741935483871,35.01129032258064,6.3,11.233548387096775,1012.4174193548388,7,31
2003,8,30.42096774193548,24.138709677419353,35.79999657948178,0.0,10.692959770114943,1011.8156989247311,0,31
2003,9,29.708333333333332,23.15,35.6825,46.4,9.334751619755142,1011.0869500372856,6,30
2003,10,28.445161290322584,22.55322580645161,34.41935483870968,86.2,7.007096774193548,1010.9167741935485,7,31
2003,11,27.208333333333332,21.91,32.28,287.0,6.208666666666667,1010.9373333333334,14,30
2003,12,27.835483870967742,21.996774193548386,32.71290322580645,84.3,6.147096774193548,1010.5896774193548,9,31
2004,1,28.51451612903226,22.706451612903226,33.38870967741936,80.6,6.186486486486486,1010.9416216216217,6,31
2004,2,28.889655172413793,22.525862068965516,34.73448275862069,90.0,6.405029585798816,1010.685798816568,7,29
2004,3,29.585483870967742,23.26451612903226,35.01451612903226,30.200000000000003,6.063763292475038,1010.9570570570571,4,31
2004,4,29.24075079255086,23.281036273548604,34.372007733288804,0.5,5.988205759101919,1010.745,1,30
2004,5,27.974507238792953,22.76903810475239,33.141932229201515,0.0,7.040860215053763,1011.6268817204301,0,31
2004,6,28.220662220216912,22.563941660379616,33.59305937536417,0.0,8.018666666666666,1012.2233333333334,0,30
2004,7,28.71185986367863,22.71914045161159,34.19503299444866,0.0,11.233548387096775,1012.4174193548388,0,31
2004,8,29.713756873321245,23.41949840858544,34.96654668554584,1.0,10.692959770114943,1011.8156989247311,2,31
2004,9,28.185,23.616666666666667,34.9778977878295,6.5,9.334751619755142,1011.0869500372856,3,30
2004,10,27.635483870967743,22.72258064516129,33.935483870967744,138.2,7.007096774193548,1010.9167741935485,11,31
2004,11,27.33,22.101666666666667,31.883333333333333,315.7,6.208666666666667,1010.9373333333334,17,30
2004,12,27.862903225806452,22.65967741935484,32.13494623655914,113.3,6.147096774193548,1010.5896774193548,11,31
2005,1,28.388709677419353,22.595161290322583,32.823011473708725,26.0,6.186486486486486,1010.9416216216217,6,31
2005,2,27.972133193001344,22.74144730979665,32.80616016690026,13.299999999999999,6.405029585798816,1010.6857988165679,3,28
2005,3,28.38225806451613,22.904838709677417,34.01390982413109,8.1,6.063763292475038,1010.9570570570571,6,31
2005,4,28.526666666666664,22.76833333333333,34.215,94.5,5.988205759101919,1010.745,11,30
2005,5,27.787096774193547,22.16774193548387,33.141935483870974,14.299999999999999,7.040860215053763,1011.6268817204301,9,31
2005,6,28.956666666666667,22.855,35.14833333333333,16.8,8.018666666666666,1012.2233333333334,3,30
2005,7,29.201612903225808,22.853225806451615,35.28709677419354,1.5,11.233548387096775,1012.4174193548388,3,31
2005,8,29.883333333333333,23.57204301075269,35.770967741935486,60.699999999999996,10.692959770114943,1011.8156989247311,4,31
2005,9,29.593888888888888,23.36888888888889,36.04833333333333,20.6,9.334751619755142,1011.0869500372856,5,30
2005,10,27.57903225806452,22.088709677419356,33.45622269619478,120.4,7.007096774193548,1010.9167741935485,9,31
2005,11,27.515,22.711666666666666,31.815,55.1,6.208666666666667,1010.9373333333334,5,30
2005,12,26.94483870967742,22.122258064516128,31.878101768449103,40.7,6.147096774193548,1010.5896774193548,6,31
2006,1,27.195583390540747,22.024961612528568,32.71641749753145,118.1,6.186486486486486,1010.9416216216217,5,31
2006,2,28.798665609788326,22.906420387536834,33.06995836800292,0.0,6.405029585798816,1010.6857988165679,0,28
2006,3,28.48384526223267,22.633109030520085,32.80739945386596,3.0,6.063763292475038,1010.9570570570571,1,31
2006,4,27.535057076945225,22.468730468473602,33.07970537040904,15.0,5.988205759101919,1010.745,1,30
2006,5,28.37775695886295,22.94331336865899,33.09258034688931,2.0,7.040860215053763,1011.6268817204301,1,31
2006,6,28.32190476190476,22.556428571428572,33.33642857142857,45.199999999999996,8.018666666666666,1012.2233333333334,6,30
2006,7,28.951612903225808,23.411290322580644,34.06228130734834,0.0,11.233548387096775,1012.4174193548388,0,31
2006,8,29.823225806451614,23.269354838709678,35.16958525345622,3.0,10.692959770114943,1011.8156989247311,3,31
