fecha,tavg,tmin,tmax,prcp,wspd,pres,año,mes,año_mes
1993-10-22,27.6,21.0,33.225,47.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-23,26.3,20.4,33.5,14.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-24,26.18,20.5,33.43,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-25,26.060000000000002,20.599999999999998,33.36,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-26,25.94,20.7,33.29,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-27,25.82,20.799999999999997,33.22,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-28,25.700000000000003,20.9,33.15,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-29,25.580000000000002,21.0,33.08,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-30,25.46,21.099999999999998,33.01,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-10-31,28.643600831195158,22.79688674274597,34.1148925621762,0.0,7.007096774193548,1010.9167741935485,1993,10,1993-10
1993-11-01,27.323939269573625,22.468264911993405,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-02,25.1,21.4,32.8,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-03,25.28571428571429,21.54285714285714,32.92857142857142,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-04,25.47142857142857,21.685714285714283,33.05714285714286,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-05,25.65714285714286,21.828571428571426,33.18571428571428,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-06,25.84285714285714,21.97142857142857,33.31428571428572,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-07,26.02857142857143,22.114285714285714,33.44285714285714,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-08,26.21428571428571,22.257142857142856,33.57142857142858,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-09,26.4,22.4,33.7,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-10,25.65,21.2,33.85,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-11,24.9,20.0,34.0,39.1,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-12,24.95,20.2,33.75833333333333,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-13,25.0,20.4,33.516666666666666,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-14,25.05,20.6,33.275,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-15,25.1,20.8,33.03333333333333,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-16,26.25,21.65,32.791666666666664,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-17,27.4,22.5,32.55,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-18,27.049999999999997,22.7,32.30833333333334,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-19,26.7,22.9,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-20,26.35,23.1,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-21,26.0,23.3,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-22,25.65,23.5,31.97301501644883,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-23,25.3,23.7,31.1,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-24,27.7,21.7,31.075000000000003,0.5,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-25,27.4,22.2,31.05,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-26,27.1,22.7,31.025,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-27,26.8,23.2,31.0,2.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-28,25.9,21.7,33.0,21.1,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-29,24.8,20.4,30.8,0.0,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-11-30,26.7,21.3,30.65,0.3,6.208666666666667,1010.9373333333334,1993,11,1993-11
1993-12-01,26.9,22.4,30.5,0.5,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-02,26.4,22.8,31.0,7.1,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-03,27.7,22.9,31.6,1.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-04,26.1,20.9,32.2,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-05,27.4,23.0,31.733333333333334,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-06,26.7,21.4,31.26666666666667,19.1,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-07,27.7,22.8,30.8,5.1,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-08,28.35,23.4,32.1,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-09,29.0,24.0,33.4,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-10,28.45,23.325,33.0,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-11,27.9,22.65,32.6,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-12,27.35,21.975,32.2,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-13,26.8,21.3,31.8,9.9,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-14,26.5,22.7,31.0,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-15,25.7,20.7,31.8,97.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-16,25.759999999999998,20.776666666666667,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-17,25.82,20.85333333333333,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-18,25.88,20.93,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-19,25.939999999999998,21.006666666666668,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-20,26.0,21.083333333333332,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-21,26.06,21.16,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-22,26.12,21.236666666666665,31.8,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-23,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
1993-12-24,27.682265285667732,22.425467806239794,32.34361657496249,0.0,6.147096774193548,1010.5896774193548,1993,12,1993-12
